Tissue	Target?	z-score	GSM
liver	All Non-Target Tissues	-0.4788620590770255	GSM301599
liver	All Non-Target Tissues	-0.4614625694767807	GSM301602
liver	Target Tissue	7.788685045496672	GSM301602
liver	All Non-Target Tissues	0.12776464116029598	GSM301602
liver	All Non-Target Tissues	-0.34066501214168426	GSM301602
liver	All Non-Target Tissues	-0.10997659221859583	GSM301602
liver	All Non-Target Tissues	-0.07614740118532592	GSM301602
liver	All Non-Target Tissues	-0.8049639256675307	GSM301596
liver	Target Tissue	9.99119528342211	GSM301596
liver	All Non-Target Tissues	-0.7065209033040655	GSM301596
liver	All Non-Target Tissues	-0.23920902894963678	GSM301596
liver	All Non-Target Tissues	-1.0984832515651848	GSM301596
liver	All Non-Target Tissues	0.06788581034353595	GSM301596
liver	All Non-Target Tissues	-0.2033870434290591	GSM301589
liver	Target Tissue	8.330310529096526	GSM301589
liver	All Non-Target Tissues	-0.5765702733922089	GSM301589
liver	All Non-Target Tissues	-0.07963858019351205	GSM301589
liver	All Non-Target Tissues	-0.8880994274626753	GSM301589
liver	All Non-Target Tissues	0.8454295363936601	GSM301589
liver	All Non-Target Tissues	-0.5216532692418809	GSM301604
liver	Target Tissue	12.205198782222118	GSM301604
liver	All Non-Target Tissues	-0.35538676640213474	GSM301604
liver	All Non-Target Tissues	-0.4074004864384635	GSM301604
liver	All Non-Target Tissues	-1.8826661799994342	GSM301604
liver	All Non-Target Tissues	-0.29519338449588517	GSM301604
liver	All Non-Target Tissues	-0.3962179422253407	GSM301593
liver	Target Tissue	6.715047500416219	GSM301593
liver	All Non-Target Tissues	-0.25131118338407676	GSM301593
liver	All Non-Target Tissues	-0.01826469382794723	GSM301593
liver	All Non-Target Tissues	-1.2496256824866947	GSM301593
liver	All Non-Target Tissues	-0.5113310474645912	GSM301593
liver	All Non-Target Tissues	-0.5010098767379129	GSM301603
liver	Target Tissue	10.740351562701752	GSM301603
liver	All Non-Target Tissues	-1.5581964997912834	GSM301603
liver	All Non-Target Tissues	-0.5893240954083367	GSM301603
liver	All Non-Target Tissues	-1.4754852845281576	GSM301603
liver	All Non-Target Tissues	-0.07430087377817603	GSM301603
liver	All Non-Target Tissues	-0.30704377403140304	GSM301590
liver	Target Tissue	8.58869721700492	GSM301590
