GeneID	GPL
170680	GPL570
171017	GPL570
171023	GPL570
171220	GPL570
171392	GPL570
171546	GPL570
171558	GPL570
171586	GPL570
1716	GPL570
1717	GPL570
1718	GPL570
1723	GPL570
1725	GPL570
1727	GPL570
1728	GPL570
1729	GPL570
1730	GPL570
1733	GPL570
1734	GPL570
1735	GPL570
1736	GPL570
1737	GPL570
1738	GPL570
1739	GPL570
173	GPL570
1740	GPL570
1741	GPL570
1742	GPL570
1743	GPL570
1746	GPL570
1748	GPL570
174	GPL570
1750	GPL570
1755	GPL570
1756	GPL570
1757	GPL570
1758	GPL570
1759	GPL570
175	GPL570
1760	GPL570
1761	GPL570
1762	GPL570
1763	GPL570
1768	GPL570
176	GPL570
1770	GPL570
1773	GPL570
1774	GPL570
1775	GPL570
1776	GPL570
1777	GPL570
1778	GPL570
177	GPL570
1780	GPL570
1783	GPL570
1785	GPL570
1786	GPL570
1787	GPL570
1788	GPL570
1789	GPL570
178	GPL570
1791	GPL570
1793	GPL570
1794	GPL570
1795	GPL570
1796	GPL570
1797	GPL570
1798	GPL570
1800	GPL570
1802	GPL570
1803	GPL570
1804	GPL570
1805	GPL570
1806	GPL570
1807	GPL570
1808	GPL570
1809	GPL570
1810	GPL570
1811	GPL570
1812	GPL570
1813	GPL570
1814	GPL570
1815	GPL570
1816	GPL570
1819	GPL570
181	GPL570
1820	GPL570
1821	GPL570
1822	GPL570
1823	GPL570
1824	GPL570
1825	GPL570
1826	GPL570
1827	GPL570
1828	GPL570
1829	GPL570
182	GPL570
1830	GPL570
1831	GPL570
1832	GPL570
1833	GPL570
1836	GPL570
1837	GPL570
1838	GPL570
1839	GPL570
183	GPL570
1841	GPL570
1842	GPL570
1843	GPL570
1844	GPL570
1845	GPL570
1846	GPL570
1847	GPL570
1848	GPL570
1849	GPL570
1850	GPL570
1852	GPL570
1854	GPL570
1855	GPL570
1856	GPL570
1857	GPL570
1859	GPL570
185	GPL570
1861	GPL570
1869	GPL570
186	GPL570
1870	GPL570
1871	GPL570
